OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPE_Length,SHAPE_Area
34552,1968,CA,CDF,SLU,ARROWBEAR,2691,1999/07/04 00:00:00+00,,14,,,15.902021,,1,105,1369.744808,-96807.18385
34553,1968,CA,USF,ANF,FENTON,0,1997/07/01 00:00:00+00,1997/07/02 00:00:00+00,9,,80,73.424896,8,1,129,2767.135675,-436826.8745
34554,1968,CA,USF,ANF,FERN,0,1997/04/18 00:00:00+00,1997/04/24 00:00:00+00,9,,50,41.923153,8,1,50,2005.128632,-248831.9839
34555,1968,NV,USF,TOI, ,0,2000/07/09 00:00:00+00,,14,,,1108.7052,,1,57,14815.22371,-7562671.938
34556,1968,NV,USF,TOI, ,0,2000/06/29 00:00:00+00,,1,,,603.75171,,1,0,8680.219668,-4115787.99
34557,1968,CA,USF,LPF, ,0,,,14,,,147.42113,,1,200,3566.629977,-891746.7754
34558,1968,CA,USF,SNF,SUGARLOAF,0,1984/08/04 00:00:00+00,1984/08/05 00:00:00+00,3,,25,16.172651,8,1,128,1239.029611,-103146.5735
34559,1968,CA,USF,SNF,BASIN,0,1984/09/17 00:00:00+00,1984/09/19 00:00:00+00,1,,450,424.17599,8,1,175,11526.10051,-2704911.437
34560,1968,CA,USF,SNF,BALCH,0,1984/09/23 00:00:00+00,1984/09/24 00:00:00+00,9,,50,41.465832,8,1,207,2223.637914,-262892.1041
34561,1968,CA,USF,LNF, ,0,1984/07/06 00:00:00+00,1984/07/07 00:00:00+00,1,,145,713.98132,8,1,28,10068.51891,-4942485.015
34562,1968,CA,USF,SRF,HOOPA SERIES,0,1995/08/11 00:00:00+00,1995/08/11 00:00:00+00,7,,6,5.9743514,8,1,29,733.5034424,-42705.86685
34563,1968,CA,USF,SRF, ,0,1994/07/21 00:00:00+00,1994/07/31 00:00:00+00,1,,10,9.9574585,8,1,59,955.8938928,-72527.5106
34564,1968,CA,USF,SRF, ,0,1994/07/21 00:00:00+00,1994/07/30 00:00:00+00,1,,33,32.859684,8,1,73,1730.057621,-237577.0571
34565,1968,CA,USF,SRF, ,0,1994/07/21 00:00:00+00,1994/07/30 00:00:00+00,1,,62,61.735775,8,1,501623,2370.995337,-446215.6063
34566,1968,CA,USF,SRF, ,0,1994/07/21 00:00:00+00,1994/07/30 00:00:00+00,9,,17,16.9275,8,1,75,1241.534159,-122349.0698
34567,1968,CA,USF,SRF, ,0,1994/07/21 00:00:00+00,1994/07/22 00:00:00+00,1,,47,46.799908,8,1,81,2059.36187,-336626.7941
34568,1968,CA,USF,SRF, ,0,1994/07/21 00:00:00+00,1994/07/24 00:00:00+00,1,,25,24.894869,8,1,82,1497.04614,-177890.709
34569,1968,CA,USF,SRF, ,0,1994/08/04 00:00:00+00,1994/08/05 00:00:00+00,7,,17,16.928694,8,1,86,1219.997124,-118141.0426
34570,1968,CA,USF,MNF,VALLEY,0,1989/08/02 00:00:00+00,1989/08/08 00:00:00+00,4,,585,557.43945,8,1,19,8210.000753,-3764112.421
34571,1968,CA,USF,SQF, ,0,1989/08/07 00:00:00+00,1989/08/11 00:00:00+00,4,,18,9.4960108,8,1,73,945.8310876,-58679.1192
