abbreviation,population
MI,2531839
MI,10036081
MI,2503548
MI,10041152
MI,2569080
MI,10055315
MI,2553314
MI,10015710
MI,2584310
MI,9991120
MI,2593310
MI,9952450
MI,2596114
MI,9897116
MI,2591944
MI,9809051
MI,2582270
MI,2586343
MI,9847942
MI,2569745
MI,9758645
MI,9676211
MI,2556799
MI,2501765
MI,9479065
MI,9540114
MI,2522249
MI,2535196
MI,9597737
MI,9400446
MI,2484957
MI,2459633
MI,9311319
MN,1176680
MN,4389857
MN,4440859
MN,1191207
MN,1238949
MN,4610355
MN,4555956
MN,1226723
MN,1213068
MN,4495572
MN,4660180
MN,1245932
MN,1252722
MN,4712827
MN,1275940
MN,4813412
MN,4763390
MN,1264250
MN,4873481
MN,1283102
MN,4933692
MN,1289715
MN,4982796
MN,1291261
MN,5018935
MN,1288795
MN,5087713
MN,1281946
MN,5053572
MN,1283687
MN,5163555
MN,1282381
MN,5119598
MN,1280557
MN,5247018
MN,1284179
MN,5207203
MN,1285074
MN,1279111
MN,5281203
MN,1284103
MN,5420380
MN,5310337
MN,1282693
MN,5347108
MN,1280424
MN,1278050
MN,5379646
MS,2986450
MS,742941
MS,747742
MS,2977886
MS,754111
MS,2970047
MS,2991207
MS,2958774
MS,758539
MS,737432
MS,2928350
MS,761171
MS,2947806
MS,760572
MS,2905943
MS,760870
MS,2904978
MS,756990
MS,2868312
MS,759447
MS,2889010
MS,760410
MS,2858681
MS,763148
MS,2852994
MS,768418
MS,2848353
MS,774353
MS,2828408
MS,775662
MS,2777004
MS,774832
MS,773721
MS,2804834
MS,769680
MS,2748085
MS,2722659
MS,767892
MS,750224
MS,2623734
MS,2655100
MS,755820
MS,763795
MS,2688992
MS,2598733
MS,738911
MS,733660
MS,2578897
MO,1316423
MO,5128880
MO,5170800
MO,1332306
MO,1378700
MO,5324497
MO,5271175
MO,1365903
MO,1349729
MO,5217101
MO,1408732
MO,5431553
MO,5378247
MO,1393554
MO,1428999
MO,5521765
MO,5481193
MO,1419837
MO,5561948
MO,1428047
MO,5607285
MO,1428383
MO,5641142
MO,1426575
MO,5674825
MO,1424513
MO,5747741
MO,1420956
MO,5709403
MO,1421927
MO,5842704
MO,1428324
MO,5790300
MO,1422978
MO,5923916
MO,1428945
MO,5887612
MO,1431346
MO,1397685
MO,5961088
MO,1426603
MO,6044171
MO,5996063
MO,1424042
MO,6010065
MO,1414444
MO,1405015
MO,6024522
MT,1005494
MT,222905
MT,222977
MT,997600
MT,223292
MT,990527
MT,1015165
MT,983982
MT,223675
MT,223981
MT,964706
MT,223135
MT,976415
MT,223814
MT,940102
MT,221685
MT,952692
MT,221930
MT,919630
MT,223012
MT,930009
MT,221999
MT,911667
MT,224772
MT,906961
MT,227118
MT,897508
MT,231133
MT,903773
MT,230067
MT,889865
MT,232813
MT,231746
MT,892431
MT,876553
MT,236583
MT,235294
MT,886254
MT,230868
MT,825770
MT,844761
MT,234987
MT,237289
MT,861306
MT,809680
MT,225259
MT,223677
MT,800204
NE,430068
NE,1581660
NE,1595919
NE,434525
NE,442589
NE,1639041
NE,1625590
NE,439313
NE,436378
NE,1611687
NE,446841
NE,1673740
NE,1656993
NE,444418
NE,451192
NE,1695817
NE,1686418
NE,450076
NE,1704764
NE,451047
NE,1713820
NE,450380
NE,1719836
NE,448307
NE,1728292
NE,447714
NE,1749370
NE,448360
NE,1738643
NE,447444
NE,1772693
NE,450098
NE,1761497
NE,448918
NE,1796378
NE,453787
NE,1783440
NE,451946
NE,464348
NE,1812683
NE,456543
NE,1868516
NE,1829838
NE,459621
NE,1841749
NE,460872
NE,462673
NE,1855350
NV,2754354
NV,659655
NV,659236
NV,2717951
NV,663180
NV,2703230
NV,2790136
NV,2684665
NV,666041
NV,661605
NV,2601072
NV,654053
NV,2653630
NV,662621
NV,2432143
NV,611595
NV,2522658
NV,634403
NV,2248850
NV,568963
NV,2346222
NV,591314
NV,2173791
NV,552816
NV,2098399
NV,534708
NV,1934718
NV,493701
NV,2018741
NV,516018
NV,1764104
NV,443626
NV,469424
NV,1853192
NV,1581578
NV,396223
NV,419133
NV,1666320
NV,337396
NV,1351367
NV,1411215
NV,354990
NV,376745
NV,1499298
NV,1296172
NV,325033
NV,316406
NV,1220695
NH,277454
NH,1112384
NH,1109929
NH,281127
NH,295563
NH,1142561
NH,1129458
NH,290409
NH,286314
NH,1117785
NH,300161
NH,1174719
NH,1157561
NH,298246
NH,307292
NH,1205941
NH,1189425
NH,302834
NH,1239882
NH,310352
NH,1222015
NH,308423
NH,1255517
NH,311877
NH,1269089
NH,312743
NH,1290121
NH,309243
NH,1279840
NH,311412
NH,1298492
NH,307403
NH,1308389
NH,305169
NH,1315906
NH,296029
NH,1312540
NH,300918
NH,271122
NH,1316102
NH,290850
NH,1323459
NH,1316614
NH,285702
NH,1318075
NH,280486
NH,275818
NH,1321617
NJ,8867749
NJ,2035106
NJ,2049453
NJ,8836639
NJ,2062013
NJ,8802707
NJ,8899339
NJ,8755602
NJ,2068684
NJ,2022117
NJ,8677885
NJ,2091023
NJ,8711090
NJ,2076366
NJ,8661679
NJ,2106403
NJ,8651974
NJ,2121878
NJ,8601402
NJ,2126014
NJ,8634561
NJ,2129051
NJ,8552643
NJ,2116591
NJ,8492671
NJ,2102838
NJ,8359592
NJ,2066678
NJ,8430621
NJ,2088885
NJ,8218808
NJ,2028349
NJ,2042080
NJ,8287418
NJ,8083242
NJ,1997187
NJ,2016502
NJ,8149596
NJ,1890108
NJ,7880508
NJ,7948915
NJ,1928623
NJ,1968232
NJ,8014306
NJ,7814676
NJ,1849605
NJ,1818187
NJ,7762963
NM,1521574
NM,453538
NM,461811
NM,1555305
NM,497542
NM,487742
NM,1636453
NM,1595442
NM,473176
NM,1682398
NM,508100
NM,1720394
NM,504558
NM,1752326
NM,512801
NM,1793484
NM,1774839
NM,514500
NM,511135
NM,1808082
NM,1821204
NM,508132
NM,1831690
NM,503404
NM,1855309
NM,502779
NM,1903808
NM,501184
NM,1877574
NM,500777
NM,1932274
NM,502612
NM,1962137
NM,505125
NM,2010662
NM,511214
NM,1990070
NM,508725
NM,507540
NM,2085287
NM,2036802
NM,515470
NM,2064982
NM,518763
NM,516513
NM,2077919
NM,512314
NM,2083540
NY,19576125
NY,4264694
NY,19502728
NY,4294555
NY,4318033
NY,19398228
NY,19307066
NY,4342926
NY,19651127
NY,4239976
NY,19132335
NY,4410949
NY,19212436
NY,4372170
NY,19104631
NY,4457777
NY,19132610
NY,4514456
NY,19175939
NY,4619506
NY,19171567
NY,4574065
NY,19137800
NY,4652232
NY,19082838
NY,4672425
NY,4672587
NY,18882725
NY,19001780
NY,4687374
NY,4670787
NY,18656546
NY,18755906
NY,4652140
NY,18588460
NY,4648419
NY,18524104
NY,4667647
NY,18459470
NY,4465539
NY,18246653
NY,18374954
NY,4538171
NY,4605284
NY,18122510
NY,4372727
NY,4281643
NY,18020784
NC,1625804
NC,6664016
NC,6784280
NC,1640394
NC,7042818
NC,1710267
NC,1674144
NC,6897214
NC,1750754
NC,7187398
NC,7344674
NC,1785150
NC,1821506
NC,7500670
NC,1894753
NC,7809122
NC,7656825
NC,1861621
NC,8081614
NC,1967626
NC,7949362
NC,1932141
NC,8210122
NC,2003782
NC,8326201
NC,2034451
NC,8553152
NC,2085165
NC,8422501
NC,2060838
NC,8705407
NC,2122485
NC,8917270
NC,2166393
NC,9309449
NC,2252101
NC,9118037
NC,2219168
NC,2285605
NC,9848060
NC,9449566
NC,2272955
NC,9559533
NC,2282288
NC,2284238
NC,9651377
NC,2284122
NC,9748364
ND,701345
ND,156765
ND,684867
ND,152357
ND,150179
ND,674344
ND,664968
ND,148674
ND,723393
ND,162688
ND,652822
ND,147263
ND,657569
ND,147462
ND,649422
ND,147331
ND,646089
ND,148119
ND,638817
ND,150406
ND,644705
ND,149128
ND,638168
ND,153097
ND,639062
ND,156113
ND,644259
ND,163056
ND,642023
ND,160477
ND,649716
ND,167475
ND,165448
ND,647532
ND,169257
ND,650382
ND,647832
ND,171146
ND,172160
ND,644806
ND,172052
ND,638223
ND,641216
ND,172168
ND,635753
ND,171730
ND,170920
ND,637685
OH,2778491
OH,10864162
OH,10945762
OH,2806959
OH,11101140
OH,2855785
OH,2839356
OH,11029431
OH,2875397
OH,11152455
OH,11202751
OH,2879930
OH,2883443
OH,11242827
OH,2896255
OH,11311536
OH,11277357
OH,2897375
OH,11363543
OH,2886585
OH,11335454
OH,2893270
OH,11387404
OH,2878123
OH,11407889
OH,2865674
OH,11452251
OH,2836068
OH,11434788
OH,2849573
OH,11463320
OH,2819794
OH,11481213
OH,2804828
OH,11515391
OH,2768968
OH,11500468
OH,2790347
OH,2649830
OH,11570808
OH,11528896
OH,2748051
OH,11545435
OH,2722589
OH,2693469
OH,11549772
OH,2668125
OH,11553031
OK,3815780
OK,939911
OK,3785534
OK,935714
OK,931483
OK,3759263
OK,3717572
OK,922711
OK,3850568
OK,947027
OK,3634349
OK,904328
OK,3668976
OK,910617
