State,Year,Quarter,HPI
AZ,2016,2,341.05
AZ,2016,3,346.85
AZ,2016,4,352.35
AZ,2017,1,357.46
AZ,2017,2,366.85
AZ,2017,3,374.65
AZ,2017,4,378.78
AZ,2018,1,386.78
AZ,2018,2,394.94
AZ,2018,3,404.04
AZ,2018,4,408.6
AZ,2019,1,413.97
AZ,2019,2,422.05
AZ,2019,3,428.39
AZ,2019,4,435.68
AZ,2020,1,444.36
AZ,2020,2,452.21
AZ,2020,3,463.3
AZ,2020,4,479.67
AZ,2021,1,500.63
AZ,2021,2,539.69
AZ,2021,3,585.08
AZ,2021,4,613.94
CA,1975,1,41.68
CA,1975,2,42.74
CA,1975,3,44.27
CA,1975,4,45.77
CA,1976,1,47.79
CA,1976,2,50.25
CA,1976,3,53.56
CA,1976,4,55.58
CA,1977,1,58.02
CA,1977,2,63.01
CA,1977,3,67.94
CA,1977,4,70.66
CA,1978,1,73.21
CA,1978,2,76
CA,1978,3,78.62
CA,1978,4,81.8
CA,1979,1,84.85
CA,1979,2,88.62
CA,1979,3,93.1
CA,1979,4,96.4
CA,1980,1,100
CA,1980,2,102.86
CA,1980,3,106.55
CA,1980,4,108.39
CA,1981,1,110.42
CA,1981,2,112.96
CA,1981,3,116.34
CA,1981,4,117.53
CA,1982,1,104.36
CA,1982,2,107.44
CA,1982,3,104.91
CA,1982,4,115.88
CA,1983,1,116.73
CA,1983,2,117.43
CA,1983,3,117.26
CA,1983,4,117.79
CA,1984,1,119.51
CA,1984,2,120.13
CA,1984,3,121.71
CA,1984,4,122.79
CA,1985,1,124.54
CA,1985,2,126.34
CA,1985,3,129.2
CA,1985,4,130.6
CA,1986,1,132.29
CA,1986,2,134.83
CA,1986,3,137.78
CA,1986,4,141.14
CA,1987,1,144.76
CA,1987,2,148.31
CA,1987,3,152.98
CA,1987,4,157.3
CA,1988,1,163.08
CA,1988,2,169.78
CA,1988,3,177.85
CA,1988,4,187.58
CA,1989,1,196.38
CA,1989,2,206.03
CA,1989,3,217.94
CA,1989,4,224.78
CA,1990,1,227.56
CA,1990,2,228.28
CA,1990,3,230.23
CA,1990,4,228.67
CA,1991,1,228.59
CA,1991,2,227.17
CA,1991,3,227.17
CA,1991,4,228.85
CA,1992,1,227.63
CA,1992,2,225.28
CA,1992,3,224.84
CA,1992,4,222.74
CA,1993,1,219.29
CA,1993,2,217.4
CA,1993,3,215.56
CA,1993,4,214.28
CA,1994,1,212.16
CA,1994,2,207.02
CA,1994,3,203.96
CA,1994,4,201.08
CA,1995,1,199.75
CA,1995,2,201.65
CA,1995,3,203.98
CA,1995,4,203.66
CA,1996,1,203.63
CA,1996,2,201.04
CA,1996,3,200.67
CA,1996,4,201.72
CA,1997,1,202.66
CA,1997,2,204.7
CA,1997,3,208.75
CA,1997,4,212.4
CA,1998,1,217.04
CA,1998,2,221.78
CA,1998,3,227.64
CA,1998,4,232.04
CA,1999,1,235.53
CA,1999,2,239.54
CA,1999,3,245.05
CA,1999,4,250.25
CA,2000,1,261.13
CA,2000,2,268.15
CA,2000,3,277.15
CA,2000,4,285.72
CA,2001,1,296.76
CA,2001,2,305.84
CA,2001,3,312.27
CA,2001,4,316.66
CA,2002,1,325.12
CA,2002,2,336.16
CA,2002,3,348.81
CA,2002,4,359.01
CA,2003,1,367.3
CA,2003,2,374.18
CA,2003,3,386.87
CA,2003,4,411.62
CA,2004,1,424.89
CA,2004,2,451.49
CA,2004,3,497.41
CA,2004,4,516.51
CA,2005,1,539.06
CA,2005,2,570.67
CA,2005,3,599.13
CA,2005,4,625.85
CA,2006,1,638.81
CA,2006,2,644.67
CA,2006,3,646.79
CA,2006,4,643.05
CA,2007,1,634.27
CA,2007,2,623.63
CA,2007,3,600.31
CA,2007,4,575.9
CA,2008,1,543.64
CA,2008,2,498.77
CA,2008,3,460.96
CA,2008,4,445.09
CA,2009,1,441.08
CA,2009,2,420.96
CA,2009,3,411.67
CA,2009,4,413.01
CA,2010,1,409.97
CA,2010,2,408.77
CA,2010,3,411
CA,2010,4,406.48
CA,2011,1,391.99
CA,2011,2,385.71
CA,2011,3,387.31
CA,2011,4,386.13
CA,2012,1,381.83
CA,2012,2,382.48
CA,2012,3,391.4
CA,2012,4,399.72
CA,2013,1,408.16
CA,2013,2,426.93
CA,2013,3,448.05
CA,2013,4,462.93
CA,2014,1,472.58
CA,2014,2,485.34
CA,2014,3,495.49
CA,2014,4,501.1
CA,2015,1,506.29
CA,2015,2,517.7
CA,2015,3,530.92
CA,2015,4,538.24
CA,2016,1,545.27
CA,2016,2,554.9
CA,2016,3,567.02
CA,2016,4,573.84
CA,2017,1,579.88
CA,2017,2,591.94
CA,2017,3,603.63
CA,2017,4,612.35
CA,2018,1,622.79
CA,2018,2,634.66
CA,2018,3,642.7
CA,2018,4,642.6
CA,2019,1,646.61
CA,2019,2,653.22
CA,2019,3,660.06
CA,2019,4,664.29
CA,2020,1,670.48
CA,2020,2,678.17
CA,2020,3,686.17
CA,2020,4,700.21
CA,2021,1,719.55
CA,2021,2,761.96
CA,2021,3,801.31
CA,2021,4,833.84
CO,1975,1,54.27
CO,1975,2,54.81
CO,1975,3,54.72
CO,1975,4,54.91
CO,1976,1,54.91
CO,1976,2,59.82
CO,1976,3,59.55
CO,1976,4,62.09
CO,1977,1,64.97
CO,1977,2,65.55
CO,1977,3,68.95
CO,1977,4,73
CO,1978,1,75.91
CO,1978,2,79.87
CO,1978,3,84.04
CO,1978,4,87.41
CO,1979,1,91.74
CO,1979,2,94.54
CO,1979,3,97.47
CO,1979,4,99.44
CO,1980,1,100
CO,1980,2,102.32
CO,1980,3,107.12
CO,1980,4,106.56
CO,1981,1,106.52
CO,1981,2,108.51
CO,1981,3,114.54
CO,1981,4,110.37
CO,1982,1,119.63
CO,1982,2,120.77
CO,1982,3,122.52
CO,1982,4,126.44
CO,1983,1,126.17
CO,1983,2,125.21
CO,1983,3,126.35
CO,1983,4,121.99
CO,1984,1,126.19
CO,1984,2,125.52
CO,1984,3,125.74
CO,1984,4,123.43
CO,1985,1,126.32
CO,1985,2,125.53
CO,1985,3,126.59
CO,1985,4,124.2
CO,1986,1,128.8
CO,1986,2,129.52
CO,1986,3,128.67
CO,1986,4,127.98
CO,1987,1,129.7
CO,1987,2,128.18
CO,1987,3,125.5
CO,1987,4,124.41
CO,1988,1,125.45
CO,1988,2,125.07
CO,1988,3,123.87
CO,1988,4,123.46
CO,1989,1,123.47
CO,1989,2,124.4
CO,1989,3,126.9
CO,1989,4,126.42
CO,1990,1,127.02
CO,1990,2,128.09
CO,1990,3,129.06
CO,1990,4,129.34
CO,1991,1,130.81
CO,1991,2,132.47
CO,1991,3,133.64
CO,1991,4,135.9
CO,1992,1,137.79
CO,1992,2,140.88
CO,1992,3,143.96
CO,1992,4,146.66
CO,1993,1,149.35
CO,1993,2,153
CO,1993,3,157.33
CO,1993,4,161.23
CO,1994,1,165.95
CO,1994,2,173.58
CO,1994,3,177.9
CO,1994,4,179.38
CO,1995,1,182.68
CO,1995,2,186.3
CO,1995,3,190.02
CO,1995,4,192.9
CO,1996,1,195.27
CO,1996,2,197.78
CO,1996,3,199.98
CO,1996,4,202.72
CO,1997,1,204.85
CO,1997,2,207.54
CO,1997,3,210.85
CO,1997,4,214.14
CO,1998,1,217.15
CO,1998,2,219.76
CO,1998,3,223.77
CO,1998,4,226.52
CO,1999,1,230.91
CO,1999,2,237.98
CO,1999,3,245.85
CO,1999,4,250.1
CO,2000,1,259.54
CO,2000,2,265.9
CO,2000,3,272.88
CO,2000,4,278.98
CO,2001,1,286.8
CO,2001,2,292.63
CO,2001,3,298.03
CO,2001,4,300.47
CO,2002,1,303.96
CO,2002,2,307.3
CO,2002,3,311.68
CO,2002,4,313.59
CO,2003,1,314.48
CO,2003,2,315.84
CO,2003,3,317.26
CO,2003,4,320.91
CO,2004,1,323.31
CO,2004,2,325.8
CO,2004,3,330.37
CO,2004,4,333.57
CO,2005,1,337.09
CO,2005,2,342.06
CO,2005,3,347.41
CO,2005,4,350.75
CO,2006,1,351.83
CO,2006,2,353.65
CO,2006,3,355.23
CO,2006,4,358.54
CO,2007,1,359.46
CO,2007,2,360.41
CO,2007,3,358.08
CO,2007,4,358.97
CO,2008,1,360.87
CO,2008,2,358.69
CO,2008,3,351.68
CO,2008,4,352.71
CO,2009,1,359.23
CO,2009,2,353.39
CO,2009,3,345.03
CO,2009,4,344.09
CO,2010,1,340.24
CO,2010,2,336.28
CO,2010,3,340.49
CO,2010,4,338.98
CO,2011,1,330.44
CO,2011,2,324.6
CO,2011,3,327.94
CO,2011,4,330.84
CO,2012,1,329.09
CO,2012,2,329.98
CO,2012,3,335.38
CO,2012,4,338.4
CO,2013,1,342.52
CO,2013,2,349.58
CO,2013,3,358.12
CO,2013,4,361.13
CO,2014,1,366.28
CO,2014,2,378.88
CO,2014,3,387.24
CO,2014,4,393
CO,2015,1,400.46
CO,2015,2,417.15
CO,2015,3,432.22
CO,2015,4,438.17
CO,2016,1,445.96
CO,2016,2,461.68
CO,2016,3,474.23
CO,2016,4,481.07
CO,2017,1,489.27
CO,2017,2,506.46
CO,2017,3,514.55
CO,2017,4,521.8
CO,2018,1,535.65
CO,2018,2,549.34
CO,2018,3,557.56
CO,2018,4,559.37
CO,2019,1,567.03
CO,2019,2,575.94
CO,2019,3,581.19
CO,2019,4,586.02
CO,2020,1,592.3
CO,2020,2,599.34
CO,2020,3,608.78
CO,2020,4,621.26
CO,2021,1,637.75
CO,2021,2,683.49
CO,2021,3,723.92
CO,2021,4,743.69
CT,1975,1,62.33
CT,1975,2,62.61
CT,1975,3,61.78
CT,1975,4,61.97
CT,1976,1,64.73
CT,1976,2,64.12
CT,1976,3,67.19
CT,1976,4,67.86
CT,1977,1,64.18
CT,1977,2,68.45
CT,1977,3,71.48
CT,1977,4,72.42
CT,1978,1,73.59
CT,1978,2,79.63
CT,1978,3,87.17
CT,1978,4,88.23
CT,1979,1,95.38
CT,1979,2,97.52
CT,1979,3,100.42
CT,1979,4,101.8
CT,1980,1,100
