OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPE_Length,SHAPE_Area
31274,1974,CA,CCO,KRN,PIONEER,0,1974/07/13 00:00:00+00,,14,,,933.27722,,1,10,8627.547776,-5730532.987
31275,1999,CA,CDF,FKU,DUNLAP,7018,1999/07/12 00:00:00+00,,7,,,14.163085,,1,135,1262.883079,-89464.51621
31276,1999,CA,CDF,FKU,MILLERTON,8803,1999/08/26 00:00:00+00,,1,,,61.458424,,1,173,3190.83433,-390384.9086
31277,1999,CA,CDF,FKU,33,8236,1999/08/13 00:00:00+00,,2,,,243.62032,,1,161,5325.368018,-1502354.056
31284,1995,CA,USF,SQF, ,0,1995/09/07 00:00:00+00,,9,,,34.163891,,1,71,2447.942659,-211825.582
31285,1995,CA,USF,SQF, ,0,1995/09/07 00:00:00+00,,9,,,6.7492518,,1,71,883.250381,-41286.44296
31286,1972,CA,USF,SNF,LOOKOUT POINT,0,1972/04/26 00:00:00+00,1972/05/16 00:00:00+00,9,,160,129.92015,8,1,4,4338.164872,-832487.3096
31287,1972,CA,USF,SNF,COLD SPRINGS,0,1972/09/08 00:00:00+00,1972/09/08 00:00:00+00,8,,30,29.106287,8,1,178,2422.943636,-184891.1225
31288,1972,CA,USF,INF, ,0,1972/08/10 00:00:00+00,1972/08/10 00:00:00+00,1,,150,150.46141,8,1,119,4734.18157,-978133.819
31289,1972,CA,USF,INF, ,0,1972/07/05 00:00:00+00,1972/07/07 00:00:00+00,8,,1137,1458.0862,8,1,69,14490.09772,-9460160.259
31290,1972,CA,USF,INF, ,0,1972/07/23 00:00:00+00,1972/07/24 00:00:00+00,2,,110,153.35574,8,1,98,4400.992318,-991075.0385
31291,1972,CA,USF,INF, ,0,1972/07/16 00:00:00+00,1972/07/17 00:00:00+00,1,,800,698.32806,8,1,85,11692.34837,-4506680.385
31292,1972,CA,USF,INF, ,0,1972/07/25 00:00:00+00,1972/07/25 00:00:00+00,9,,12,36.160831,8,1,101,2496.994031,-233292.4473
31293,1972,CA,USF,INF, ,0,1972/07/12 00:00:00+00,1972/07/13 00:00:00+00,4,,11,16.402113,8,1,72,2026.554326,-105550.4342
31294,1972,CA,USF,INF, ,0,1972/07/23 00:00:00+00,1972/07/24 00:00:00+00,4,,560,697.31726,8,1,99,10514.82761,-4472557.755
31295,1989,CA,CDF,SLU,SLU 1531,1531,1989/06/18 00:00:00+00,,2,,,670.24127,,1,199,8979.346309,-4084080.636
31296,1989,CA,CDF,FKU,CAL OIL,4362,1989/06/03 00:00:00+00,,9,,,492.43951,,1,82,7969.491581,-3035267.734
31297,1989,CA,CDF,RRU,VAIL,0,1989/07/29 00:00:00+00,,14,,,15808.053,,1,0,51946.18677,-92067204.55
31298,1989,CA,USF,BDF, ,0,,,14,,,41.441387,,1,0,2405.268565,-243164.1571
31299,1996,CA,CDF,BDU,LIVE OAK,32724,1996/05/23 00:00:00+00,,2,,,51.262108,,1,337,2494.174272,-302645.5117
31300,1996,CA,CDF,BDU,ROUSE 1,64,1996/08/24 00:00:00+00,,14,,,73.093544,,1,0,2972.402213,-434278.7586
31301,1996,CA,CDF,BDU,ROUSE 2,96,1996/08/24 00:00:00+00,,14,,,141.90784,,1,0,4124.130524,-843299.6187
31302,1996,CA,CDF,BDU,ESCAPETE,165,1996/06/01 00:00:00+00,,5,,,208.19038,,1,0,6479.712239,-1238725.923
31303,1996,CA,CDF,SLU,WELLSONA,2513,1996/07/18 00:00:00+00,,14,,,22.692562,,1,0,1639.005988,-139529.534
31304,1996,CA,CCO,KRN,OIL,0,1996/06/17 00:00:00+00,,7,,,1895.9661,,1,0,13663.54542,-11606252.7
31305,1989,CA,USF,BDF, ,0,,,14,,,40.607109,,1,0,1835.426543,-241572.1994
31306,1989,CA,USF,BDF, ,0,,,14,,,25.722248,,1,0,1525.780832,-152673.8829
31307,2004,NV,USF,HTF,GATES COMPLEX,A5TO,,,,,,8905.459,,,A5TO,47873.7177,-59175787.69
31308,2003,CA,USF,CNF, ,,,,14,,2714,2713.938,8,,,16731.29453,-15772591.16
31309,1991,CA,USF,BDF,STOCKTON,,1991/08/21 00:00:00+00,1991/09/09 00:00:00+00,4,,1430,1504.8883,8,,145,14459.1276,-8949350.399
31310,1989,CA,USF,BDF, ,0,,,14,,,67.174934,,1,0,2403.40419,-398690.3775
31311,1989,CA,USF,BDF, ,0,,,14,,,141.78038,,1,0,3900.607394,-841337.1375
31312,1989,CA,USF,BDF, ,0,,,14,,,261.43558,,1,0,4963.988234,-1549255.88
31313,1989,CA,USF,BDF, ,0,,,14,,,652.24561,,1,0,9700.576301,-3864992.754
31314,1989,CA,USF,BDF, ,0,,,14,,,161.67892,,1,0,4341.876298,-958046.377
31315,1989,CA,USF,BDF, ,0,,,14,,,22.608467,,1,0,1388.131009,-133813.7267
31316,1989,CA,CCO,LAC,SAN FRAN FIRE,837828,1989/06/28 00:00:00+00,,14,,,2237.3955,,1,89,30204.59571,-13409146.59
31317,1989,CA,CCO,LAC,SPUNKY FIRE,831572,1989/08/04 00:00:00+00,,14,,,323.63873,,1,189,6084.889772,-1938104.913
31318,1989,CA,CCO,LAC,OZ FIRE,762436,1989/06/14 00:00:00+00,,14,,,108.83167,,1,89,3662.307269,-651647.311
31319,1989,CA,CCO,LAC,SOLEDAD FIRE,921072,1989/08/17 00:00:00+00,,14,,,176.66466,,1,789,4405.043719,-1053804.324
31320,1989,CA,CCO,LAC,FOXLANE FIRE,931073,1989/08/29 00:00:00+00,,14,,,198.16887,,1,989,5212.198894,-1181889.997
31321,1989,CA,CCO,LAC,PACY FIRE,921234,1989/07/31 00:00:00+00,,14,,,1342.4305,,1,189,20750.70421,-7997998.289
31322,1994,CA,CDF,RRU,BAILEY,0,,,14,,,7084.0454,,1,0,31681.34894,-41287123.42
31323,1994,CA,CDF,RRU,BERNASCONI,0,,,14,,,826.93378,,1,0,12995.8405,-4862784.458
31324,1994,CA,CDF,RRU,DUMP,0,,,14,,,58.98209,,1,0,2829.453247,-346227.8286
31325,1994,CA,CDF,RRU,GIBREL,28885,1994/06/27 00:00:00+00,,7,,,845.64825,,1,868,12310.41135,-4958210.927
31326,1994,CA,CDF,RRU,GILMAN,28902,1994/06/27 00:00:00+00,,7,,,2165.1912,,1,870,19144.65741,-12727354.79
31327,1994,CA,CDF,RRU,MATTHEWS,28925,1994/05/27 00:00:00+00,,5,,,441.78046,,1,873,7684.720385,-2605217.714
31328,1959,CA,USF,SQF, ,0,,,1,,,9433.2158,,1,38,39226.5055,-58273013.38
31329,1959,CA,CDF,MMU,NELSON COVE FIRE,0,,,2,,,11076.309,,1,0,49765.10289,-71201836.02
31330,1959,CA,USF,CNF, ,0,,,14,,,378.6174,,1,14,6513.525413,-2205710.419
31331,1959,CA,CDF,RRU,HOWELL,0,1959/05/16 00:00:00+00,,14,,,368.6055,,1,127,6077.9979,-2155432.416
31332,1959,CA,USF,TOI, ,0,1959/07/24 00:00:00+00,,9,,,37.716923,,1,71,1992.064385,-256116.8531
31333,1959,CA,USF,TOI, ,0,1959/07/11 00:00:00+00,,1,,,53.104408,,1,38,2500.049894,-354351.5173
31334,1959,CA,USF,TOI, ,0,1959/07/19 00:00:00+00,,1,,,100.93855,,1,62,3483.502375,-661839.6062
31335,1959,NV,USF,TOI, ,0,1959/07/12 00:00:00+00,,1,,,71.764999,,1,50,3758.642067,-479466.7404
31336,1959,NV,USF,TOI, ,0,1959/07/11 00:00:00+00,,1,,,46.142475,,1,0,3097.3442,-307830.0019
31337,1959,CA,USF,MDF,MCGINTY,0,1959/09/10 00:00:00+00,,1,,,19.567877,,1,57,1539.941479,-142681.4386
31338,1959,CA,USF,MDF,RIM ROCK,0,1959/09/10 00:00:00+00,,1,,,173.15897,,1,56,5308.802164,-1261811.661
31339,1959,CA,CDF,SKU, ,0,,,14,,,14864.288,,1,0,42472.60251,-107103815.3
31340,1959,CA,USF,SRF,AIRPORT,0,1959/08/06 00:00:00+00,,9,,,4.9784274,,1,403,676.5472808,-36331.19075
31341,1959,CA,USF,SRF,BACON,0,1959/08/06 00:00:00+00,,3,,,6.4724803,,1,200442,765.1953535,-46475.91539
31342,1959,CA,USF,SRF,ELEVEN,0,1959/10/03 00:00:00+00,,5,,,2.3898187,,1,300331,461.6307012,-16915.02187
31343,1959,CA,USF,SRF,GOODWIN,0,1959/09/28 00:00:00+00,,2,,,5.9746685,,1,400247,721.9842478,-41375.04979
31344,1959,CA,USF,SRF,MUD,0,1959/09/28 00:00:00+00,,5,,,8.9619799,,1,400248,886.0012239,-62309.14752
31345,1959,CA,USF,SRF,DOG,0,1959/10/14 00:00:00+00,,3,,,15.932837,,1,400249,1181.326126,-110770.1929
31346,1959,CA,USF,SRF,LAMB,0,1959/10/30 00:00:00+00,,11,,,3.9830761,,1,400250,592.5576416,-27870.47642
31347,1959,CA,USF,SRF,GREEN,0,1959/10/30 00:00:00+00,,2,,,6.9703355,,1,400251,782.2829183,-48574.77588
31348,1959,CA,USF,SRF,DOGWOOD,0,1959/11/11 00:00:00+00,,9,,,15.932592,,1,400255,1181.322676,-110769.544
31349,1959,CA,USF,SRF,BLUJAY,0,1959/12/05 00:00:00+00,,4,,,20.912096,,1,400256,1351.498393,-144982.0418
31350,1959,CA,USF,SRF,CHEZEM,0,1959/10/30 00:00:00+00,,5,,,158.41264,,1,300334,4499.57873,-1121559.34
31351,1959,CA,USF,SRF,RATTLESNAKE,0,1959/07/28 00:00:00+00,,2,,,6.6824098,,1,401,873.7438301,-48567.44409
31352,1959,CA,USF,SRF,BOULDER,0,1959/06/26 00:00:00+00,,2,,,13.099663,,1,398,1177.063124,-95154.37357
31353,1959,CA,USF,SRF,MINE,0,1959/08/11 00:00:00+00,,5,,,4503.6704,,1,200444,33448.4931,-32324231.56
31354,1959,CA,USF,SRF,BEE,0,1959/07/17 00:00:00+00,,3,,,188.09081,,1,200439,4936.902276,-1348412.153
31355,1959,CA,USF,SRF,ZENIA,0,1959/10/31 00:00:00+00,,2,,,167.26021,,1,400252,4772.686858,-1161692.579
31356,1959,CA,USF,SRF,PINE,0,1959/10/31 00:00:00+00,,2,,,1749.5828,,1,400253,14967.34739,-12172216.39
31357,1959,CA,USF,KNF,BOULDER RIDGE,0,1959/07/20 00:00:00+00,,1,,,19.81032,,1,45,1462.923892,-143558.3742
31358,1959,CA,USF,KNF,DEER CREEK,0,1959/07/21 00:00:00+00,,9,,,71.156181,,1,46,4389.287509,-520826.9796
31359,1959,CA,USF,KNF,SISKON MINE,0,1959/09/09 00:00:00+00,,2,,,8.2252254,,1,81,940.3560815,-59537.01697
31360,1959,CA,USF,KNF,UKONOM CREEK,0,1959/09/12 00:00:00+00,,9,,,26.521036,,1,83,2154.801619,-192076.6568
31361,1959,CA,USF,KNF,SNOWSLIDE,0,1959/10/02 00:00:00+00,,3,,,6.3493805,,1,88,856.8144439,-45686.97051
31362,1959,CA,USF,KNF,ANTELOPE #1,0,1959/10/24 00:00:00+00,,3,,,193.11255,,1,96,6272.8209,-1400530.683
31363,1959,CA,CDF,SKU,SULPHUR RANCH,0,1959/07/27 00:00:00+00,,9,,,3050.5547,,1,68,25774.375,-22306298.83
31364,1959,CA,CDF,SKU,LIGHTNING #5,0,1959/06/19 00:00:00+00,,1,,,521.58868,,1,33,10211.4831,-3781724.115
31365,1959,CA,USF,KNF, ,0,,,14,,,37.684311,,1,0,1981.741084,-272404.0272
31366,1960,CA,CDF,BTU,BALD ROCK,0,1960/08/20 00:00:00+00,,14,,,424.38974,,1,193,8468.66534,-2890958.562
31367,1960,CA,CDF,LNU,BEAR SPRINGS,0,1960/08/21 00:00:00+00,,14,,,1324.3582,,1,65,19692.34307,-8866567.945
